dataset,google/medsiglip-448,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,openai/clip-vit-base-patch32,openai/clip-vit-large-patch14
HAM10000,0.847700,0.351200,0.573100,0.164600
HC,0.641700,0.395700,0.604300,0.411800
ISIC18,0.835200,0.338900,0.567600,0.186100
ISIC24,0.640000,0.326700,0.673300,0.613300
PAD,0.646800,0.527400,0.597000,0.761200
ddi,0.777800,0.296300,0.629600,0.370400
merged,0.746700,0.378600,0.590100,0.341500
merged_clinic,0.630700,0.452600,0.607300,0.527000
merged_dermatoscopic,0.811400,0.337400,0.580500,0.238200
sd-198,0.494000,0.578300,0.638600,0.530100
