image,prediction,label
019823VB.jpg,malignant,malignant
040272HB.jpg,benign,benign
10191-1.jpg,benign,benign
015565HB.jpg,malignant,malignant
023442VB.jpg,benign,benign
040074VB.jpg,benign,benign
015977HB.jpg,benign,malignant
015677HB.jpg,benign,malignant
015540VB.jpg,malignant,malignant
037759VB.jpg,benign,benign
019468HB.jpg,benign,malignant
020248HB.jpg,benign,malignant
015952HB.jpg,malignant,malignant
029529HB.jpg,malignant,benign
040770HB.jpg,benign,benign
10522-DSC02271.jpg,benign,benign
043383VB.jpg,malignant,benign
003086HB.jpg,benign,malignant
001018HB.jpg,malignant,malignant
015839HB.jpg,malignant,malignant
029767HB.jpg,benign,benign
019373HB.jpg,benign,malignant
044507VB.jpg,benign,benign
020181HB.jpg,benign,malignant
019256HB.jpg,malignant,malignant
015851HB.jpg,malignant,malignant
019443VB.jpg,malignant,malignant
040503VB.jpg,benign,benign
019328HB.jpg,benign,malignant
042637VB.jpg,benign,benign
003441HB.jpg,malignant,malignant
045653VB.jpg,malignant,benign
10280-DSC02447.jpg,benign,benign
019405VB.jpg,malignant,malignant
038246HB.jpg,benign,benign
019305HB.jpg,benign,malignant
046288VB.jpg,malignant,malignant
044541HB.jpg,benign,benign
015769HB.jpg,benign,malignant
004827VB.jpg,benign,benign
025704VB.jpg,benign,benign
020186HB.jpg,benign,malignant
009877HB.jpg,benign,benign
039818HB.jpg,benign,benign
019581HB.jpg,malignant,malignant
009379HB.jpg,malignant,benign
020237HB.jpg,malignant,malignant
015840HB.jpg,malignant,malignant
011001HB.jpg,malignant,benign
015832HB.jpg,malignant,malignant
001618HB.jpg,benign,malignant
015472VB.jpg,benign,malignant
019956HB.jpg,malignant,malignant
015831HB.jpg,benign,malignant
026800VB.jpg,benign,benign
043940VB.jpg,benign,benign
019221HB.jpg,benign,malignant
002833HB.jpg,benign,malignant
029069HB.jpg,benign,benign
003510VB.jpg,malignant,malignant
043395HB.jpg,benign,benign
002829HB.jpg,benign,malignant
031856HB.jpg,benign,benign
024681HB.jpg,benign,benign
010069HB.jpg,benign,benign
000607HB.jpg,malignant,malignant
040273HB.jpg,benign,benign
015670HB.jpg,benign,malignant
039117HB.jpg,benign,benign
033598HB.jpg,benign,benign
038408HB.jpg,benign,benign
006045VB.jpg,malignant,malignant
009989HB.jpg,benign,benign
041818HB.jpg,benign,benign
012170HB.jpg,benign,benign
024166HB.jpg,benign,benign
020185HB.jpg,benign,malignant
029060VB.jpg,benign,benign
020151HB.jpg,benign,malignant
037093HB.jpg,benign,benign
028698VB.jpg,malignant,benign
020009VB.jpg,benign,malignant
024991HB.jpg,benign,benign
