image,prediction,label
019823VB.jpg,malignant,malignant
040272HB.jpg,malignant,benign
10191-1.jpg,benign,benign
015565HB.jpg,benign,malignant
023442VB.jpg,malignant,benign
040074VB.jpg,benign,benign
015977HB.jpg,malignant,malignant
015677HB.jpg,malignant,malignant
015540VB.jpg,malignant,malignant
037759VB.jpg,malignant,benign
019468HB.jpg,malignant,malignant
020248HB.jpg,benign,malignant
015952HB.jpg,malignant,malignant
029529HB.jpg,benign,benign
040770HB.jpg,benign,benign
10522-DSC02271.jpg,malignant,benign
043383VB.jpg,malignant,benign
003086HB.jpg,malignant,malignant
001018HB.jpg,malignant,malignant
015839HB.jpg,malignant,malignant
029767HB.jpg,malignant,benign
019373HB.jpg,malignant,malignant
044507VB.jpg,benign,benign
020181HB.jpg,benign,malignant
019256HB.jpg,malignant,malignant
015851HB.jpg,malignant,malignant
019443VB.jpg,malignant,malignant
040503VB.jpg,malignant,benign
019328HB.jpg,malignant,malignant
042637VB.jpg,malignant,benign
003441HB.jpg,malignant,malignant
045653VB.jpg,malignant,benign
10280-DSC02447.jpg,malignant,benign
019405VB.jpg,malignant,malignant
038246HB.jpg,malignant,benign
019305HB.jpg,malignant,malignant
046288VB.jpg,malignant,malignant
044541HB.jpg,malignant,benign
015769HB.jpg,malignant,malignant
004827VB.jpg,malignant,benign
025704VB.jpg,benign,benign
020186HB.jpg,malignant,malignant
009877HB.jpg,malignant,benign
039818HB.jpg,malignant,benign
019581HB.jpg,malignant,malignant
009379HB.jpg,benign,benign
020237HB.jpg,malignant,malignant
015840HB.jpg,malignant,malignant
011001HB.jpg,malignant,benign
015832HB.jpg,malignant,malignant
001618HB.jpg,benign,malignant
015472VB.jpg,malignant,malignant
019956HB.jpg,malignant,malignant
015831HB.jpg,malignant,malignant
026800VB.jpg,benign,benign
043940VB.jpg,benign,benign
019221HB.jpg,malignant,malignant
002833HB.jpg,malignant,malignant
029069HB.jpg,benign,benign
003510VB.jpg,malignant,malignant
043395HB.jpg,malignant,benign
002829HB.jpg,malignant,malignant
031856HB.jpg,malignant,benign
024681HB.jpg,malignant,benign
010069HB.jpg,malignant,benign
000607HB.jpg,malignant,malignant
040273HB.jpg,malignant,benign
015670HB.jpg,benign,malignant
039117HB.jpg,malignant,benign
033598HB.jpg,malignant,benign
038408HB.jpg,malignant,benign
006045VB.jpg,malignant,malignant
009989HB.jpg,malignant,benign
041818HB.jpg,malignant,benign
012170HB.jpg,malignant,benign
024166HB.jpg,malignant,benign
020185HB.jpg,malignant,malignant
029060VB.jpg,benign,benign
020151HB.jpg,malignant,malignant
037093HB.jpg,malignant,benign
028698VB.jpg,benign,benign
020009VB.jpg,malignant,malignant
024991HB.jpg,malignant,benign
