dataset,best_prompt,best_model,accuracy
HAM10000,vlm_prompt_abcde_rules,Qwen/Qwen2-VL-2B-Instruct,0.851200
HC,vlm_prompt_patient_info,microsoft/Phi-3.5-vision-instruct,0.644400
ISIC18,vlm_prompt_simple,Qwen/Qwen2-VL-2B-Instruct,0.841700
ISIC24,vlm_prompt_abcde_rules,Qwen/Qwen2.5-VL-3B-Instruct,0.713300
PAD,vlm_prompt_patient_info,gemma3:27b,0.820900
ddi,vlm_dual_encoder,google/medsiglip-448,0.777800
merged,vlm_dual_encoder,google/medsiglip-448,0.746700
merged_clinic,vlm_prompt_simple,microsoft/Phi-3.5-vision-instruct,0.678800
merged_dermatoscopic,vlm_prompt_simple,Qwen/Qwen2-VL-2B-Instruct,0.813000
sd-198,vlm_prompt_simple,llama4:16x17b,0.843400
