image,prediction,label
000493.png,benign,malignant
000014.png,benign,malignant
000158.png,benign,malignant
000244.png,benign,malignant
000359.png,benign,malignant
000072.png,benign,malignant
000406.png,benign,malignant
000478.png,benign,malignant
000109.png,benign,benign
000282.png,benign,benign
000284.png,benign,benign
000311.png,benign,benign
000324.png,benign,benign
000439.png,benign,benign
000495.png,benign,benign
000632.png,benign,benign
000642.png,benign,benign
000111.png,benign,benign
000172.png,benign,benign
000259.png,benign,benign
000602.png,benign,benign
000605.png,benign,benign
000473.png,benign,benign
000375.png,benign,benign
000549.png,benign,benign
000513.png,benign,benign
000603.png,benign,benign
